id,review,aspect,sentiment
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,Eating Environment / Ambiance,Unknown
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Food,Positive
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Service,Unknown
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Price,Unknown
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Eating Environment / Ambiance,Unknown
2391,Nevertheless the food itself is pretty good.,Food,Positive
2391,Nevertheless the food itself is pretty good.,Service,Unknown
2391,Nevertheless the food itself is pretty good.,Price,Unknown
2391,Nevertheless the food itself is pretty good.,Eating Environment / Ambiance,Unknown
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",Food,Negative
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",Service,Unknown
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",Price,Unknown
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",Eating Environment / Ambiance,Unknown
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Food,Unknown
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Service,Unknown
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Price,Unknown
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Eating Environment / Ambiance,Unknown
2200,The design and atmosphere is just as good.,Food,Unknown
2200,The design and atmosphere is just as good.,Service,Unknown
2200,The design and atmosphere is just as good.,Price,Unknown
2200,The design and atmosphere is just as good.,Eating Environment / Ambiance,Positive
3195,He has visited Thailand and is quite expert on the cuisine.,Food,Positive
3195,He has visited Thailand and is quite expert on the cuisine.,Service,Unknown
3195,He has visited Thailand and is quite expert on the cuisine.,Price,Unknown
3195,He has visited Thailand and is quite expert on the cuisine.,Eating Environment / Ambiance,Unknown
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,Food,Unknown
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,Service,Unknown
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,Price,Unknown
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,Eating Environment / Ambiance,Unknown
3359,The pizza is the best if you like thin crusted pizza.,Food,Positive
3359,The pizza is the best if you like thin crusted pizza.,Service,Unknown
3359,The pizza is the best if you like thin crusted pizza.,Price,Unknown
3359,The pizza is the best if you like thin crusted pizza.,Eating Environment / Ambiance,Unknown
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,Food,Unknown
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,Service,Unknown
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,Price,Unknown
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,Eating Environment / Ambiance,Unknown
1829,"He can't help, they're bought up so fast.",Food,Unknown
1829,"He can't help, they're bought up so fast.",Service,Unknown
1829,"He can't help, they're bought up so fast.",Price,Unknown
1829,"He can't help, they're bought up so fast.",Eating Environment / Ambiance,Unknown
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",Food,Unknown
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",Service,Unknown
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",Price,Unknown
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",Eating Environment / Ambiance,Negative
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",Food,Unknown
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",Service,Unknown
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",Price,Unknown
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",Eating Environment / Ambiance,Unknown
2559,Obviously run by folks who know a pie.,Food,Unknown
2559,Obviously run by folks who know a pie.,Service,Positive
2559,Obviously run by folks who know a pie.,Price,Unknown
2559,Obviously run by folks who know a pie.,Eating Environment / Ambiance,Unknown
716,We were very disappointed.,Food,Unknown
716,We were very disappointed.,Service,Unknown
716,We were very disappointed.,Price,Unknown
716,We were very disappointed.,Eating Environment / Ambiance,Unknown
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,Food,Unknown
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,Service,Unknown
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,Price,Positive
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,Eating Environment / Ambiance,Unknown
385,I really liked this place.,Food,Unknown
385,I really liked this place.,Service,Unknown
385,I really liked this place.,Price,Unknown
385,I really liked this place.,Eating Environment / Ambiance,Unknown
1350,I will be going back very soon.,Food,Unknown
1350,I will be going back very soon.,Service,Unknown
1350,I will be going back very soon.,Price,Unknown
1350,I will be going back very soon.,Eating Environment / Ambiance,Unknown
3534,"All the money went into the interior decoration, none of it went to the chefs.",Food,Negative
3534,"All the money went into the interior decoration, none of it went to the chefs.",Service,Unknown
3534,"All the money went into the interior decoration, none of it went to the chefs.",Price,Unknown
3534,"All the money went into the interior decoration, none of it went to the chefs.",Eating Environment / Ambiance,Positive
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,Food,Unknown
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,Service,Unknown
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,Price,Unknown
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,Eating Environment / Ambiance,Negative
565,"I asked for seltzer with lime, no ice.",Food,Unknown
565,"I asked for seltzer with lime, no ice.",Service,Unknown
565,"I asked for seltzer with lime, no ice.",Price,Unknown
565,"I asked for seltzer with lime, no ice.",Eating Environment / Ambiance,Unknown
387,It was pretty inexpensive too.,Food,Unknown
387,It was pretty inexpensive too.,Service,Unknown
387,It was pretty inexpensive too.,Price,Positive
387,It was pretty inexpensive too.,Eating Environment / Ambiance,Unknown
1314,Will not be back.,Food,Unknown
1314,Will not be back.,Service,Unknown
1314,Will not be back.,Price,Unknown
1314,Will not be back.,Eating Environment / Ambiance,Unknown
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",Food,Positive
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",Service,Unknown
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",Price,Unknown
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",Eating Environment / Ambiance,Unknown
2227,My suggestion is to eat family style because you'll want to try the other dishes.,Food,Unknown
2227,My suggestion is to eat family style because you'll want to try the other dishes.,Service,Unknown
2227,My suggestion is to eat family style because you'll want to try the other dishes.,Price,Unknown
2227,My suggestion is to eat family style because you'll want to try the other dishes.,Eating Environment / Ambiance,Unknown
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",Food,Unknown
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",Service,Positive
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",Price,Unknown
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",Eating Environment / Ambiance,Positive
1210,This isn't a value joint.,Food,Unknown
1210,This isn't a value joint.,Service,Unknown
1210,This isn't a value joint.,Price,Negative
1210,This isn't a value joint.,Eating Environment / Ambiance,Unknown
2191,Faan's got a great concept but a little rough on the delivery.,Food,Unknown
2191,Faan's got a great concept but a little rough on the delivery.,Service,Negative
2191,Faan's got a great concept but a little rough on the delivery.,Price,Unknown
2191,Faan's got a great concept but a little rough on the delivery.,Eating Environment / Ambiance,Unknown
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",Food,Positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",Service,Positive
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",Price,Unknown
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",Eating Environment / Ambiance,Positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Food,Positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Service,Unknown
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Price,Positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Eating Environment / Ambiance,Unknown
500,Look foward to trying the Ruben upon returning.,Food,Unknown
500,Look foward to trying the Ruben upon returning.,Service,Unknown
500,Look foward to trying the Ruben upon returning.,Price,Unknown
500,Look foward to trying the Ruben upon returning.,Eating Environment / Ambiance,Unknown
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,Food,Unknown
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,Service,Unknown
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,Price,Unknown
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,Eating Environment / Ambiance,Unknown
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,Food,Unknown
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,Service,Unknown
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,Price,Unknown
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,Eating Environment / Ambiance,Unknown
388,this little place has a cute interior decor and affordable city prices.,Food,Unknown
388,this little place has a cute interior decor and affordable city prices.,Service,Unknown
388,this little place has a cute interior decor and affordable city prices.,Price,Positive
388,this little place has a cute interior decor and affordable city prices.,Eating Environment / Ambiance,Positive
3070,You'll adore it.,Food,Unknown
3070,You'll adore it.,Service,Unknown
3070,You'll adore it.,Price,Unknown
3070,You'll adore it.,Eating Environment / Ambiance,Unknown
3373,Two words: Free wine.,Food,Unknown
3373,Two words: Free wine.,Service,Unknown
3373,Two words: Free wine.,Price,Positive
3373,Two words: Free wine.,Eating Environment / Ambiance,Unknown
425,The price is reasonable although the service is poor.,Food,Unknown
425,The price is reasonable although the service is poor.,Service,Negative
425,The price is reasonable although the service is poor.,Price,Positive
425,The price is reasonable although the service is poor.,Eating Environment / Ambiance,Unknown
3192,"The quantity is also very good, you will come out satisfied.",Food,Positive
3192,"The quantity is also very good, you will come out satisfied.",Service,Unknown
3192,"The quantity is also very good, you will come out satisfied.",Price,Unknown
3192,"The quantity is also very good, you will come out satisfied.",Eating Environment / Ambiance,Unknown
1098,I have been to Roth's twice and both times were very disappointing.,Food,Unknown
1098,I have been to Roth's twice and both times were very disappointing.,Service,Unknown
1098,I have been to Roth's twice and both times were very disappointing.,Price,Unknown
1098,I have been to Roth's twice and both times were very disappointing.,Eating Environment / Ambiance,Unknown
2173,Worth visiting the 1st Ave spot because it is the original store.,Food,Unknown
2173,Worth visiting the 1st Ave spot because it is the original store.,Service,Unknown
2173,Worth visiting the 1st Ave spot because it is the original store.,Price,Unknown
2173,Worth visiting the 1st Ave spot because it is the original store.,Eating Environment / Ambiance,Unknown
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",Food,Unknown
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",Service,Unknown
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",Price,Unknown
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",Eating Environment / Ambiance,Unknown
263,"Raga's is a romantic, cozy restaurant.",Food,Unknown
263,"Raga's is a romantic, cozy restaurant.",Service,Unknown
263,"Raga's is a romantic, cozy restaurant.",Price,Unknown
263,"Raga's is a romantic, cozy restaurant.",Eating Environment / Ambiance,Positive
2384,The fried rice is amazing here.,Food,Positive
2384,The fried rice is amazing here.,Service,Unknown
2384,The fried rice is amazing here.,Price,Unknown
2384,The fried rice is amazing here.,Eating Environment / Ambiance,Unknown
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",Food,Positive
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",Service,Unknown
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",Price,Unknown
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",Eating Environment / Ambiance,Unknown
3404,it's a perfect place to have a amanzing indian food.,Food,Positive
3404,it's a perfect place to have a amanzing indian food.,Service,Unknown
3404,it's a perfect place to have a amanzing indian food.,Price,Unknown
3404,it's a perfect place to have a amanzing indian food.,Eating Environment / Ambiance,Unknown
2599,The place is so cool and the service is prompt and curtious.,Food,Unknown
2599,The place is so cool and the service is prompt and curtious.,Service,Positive
2599,The place is so cool and the service is prompt and curtious.,Price,Unknown
2599,The place is so cool and the service is prompt and curtious.,Eating Environment / Ambiance,Positive
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,Food,Positive
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,Service,Unknown
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,Price,Unknown
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,Eating Environment / Ambiance,Unknown
648,I just wonder how you can have such a delicious meal for such little money.,Food,Positive
648,I just wonder how you can have such a delicious meal for such little money.,Service,Unknown
648,I just wonder how you can have such a delicious meal for such little money.,Price,Positive
648,I just wonder how you can have such a delicious meal for such little money.,Eating Environment / Ambiance,Unknown
863,The food was delicious but do not come here on a empty stomach.,Food,Unknown
863,The food was delicious but do not come here on a empty stomach.,Service,Unknown
863,The food was delicious but do not come here on a empty stomach.,Price,Unknown
863,The food was delicious but do not come here on a empty stomach.,Eating Environment / Ambiance,Unknown
1623,The wine list is excellent.,Food,Positive
1623,The wine list is excellent.,Service,Unknown
1623,The wine list is excellent.,Price,Unknown
1623,The wine list is excellent.,Eating Environment / Ambiance,Unknown
2177,so garantuan that you can't fit them in a toaster.,Food,Positive
2177,so garantuan that you can't fit them in a toaster.,Service,Unknown
2177,so garantuan that you can't fit them in a toaster.,Price,Unknown
2177,so garantuan that you can't fit them in a toaster.,Eating Environment / Ambiance,Unknown
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Food,Positive
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Service,Unknown
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Price,Unknown
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Eating Environment / Ambiance,Unknown
1101,They wouldnt even let me finish my glass of wine before offering another.,Food,Unknown
1101,They wouldnt even let me finish my glass of wine before offering another.,Service,Positive
1101,They wouldnt even let me finish my glass of wine before offering another.,Price,Unknown
1101,They wouldnt even let me finish my glass of wine before offering another.,Eating Environment / Ambiance,Unknown
1823,I highly recommend the Sophia pizza.,Food,Unknown
1823,I highly recommend the Sophia pizza.,Service,Unknown
1823,I highly recommend the Sophia pizza.,Price,Unknown
1823,I highly recommend the Sophia pizza.,Eating Environment / Ambiance,Unknown
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",Food,Unknown
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",Service,Negative
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",Price,Unknown
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",Eating Environment / Ambiance,Unknown
2783,This is a consistently great place to dine for lunch or dinner.,Food,Unknown
2783,This is a consistently great place to dine for lunch or dinner.,Service,Unknown
2783,This is a consistently great place to dine for lunch or dinner.,Price,Unknown
2783,This is a consistently great place to dine for lunch or dinner.,Eating Environment / Ambiance,Unknown
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",Food,Positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",Service,Positive
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",Price,Unknown
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",Eating Environment / Ambiance,Positive
66,All the people that I bring there go back on their own and bring THEIR friends!,Food,Unknown
66,All the people that I bring there go back on their own and bring THEIR friends!,Service,Unknown
66,All the people that I bring there go back on their own and bring THEIR friends!,Price,Unknown
66,All the people that I bring there go back on their own and bring THEIR friends!,Eating Environment / Ambiance,Unknown
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,Food,Unknown
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,Service,Unknown
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,Price,Unknown
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,Eating Environment / Ambiance,Unknown
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",Food,Positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",Service,Positive
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",Price,Unknown
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",Eating Environment / Ambiance,Positive
2934,Not what I wanted to hear.,Food,Unknown
2934,Not what I wanted to hear.,Service,Unknown
2934,Not what I wanted to hear.,Price,Unknown
2934,Not what I wanted to hear.,Eating Environment / Ambiance,Unknown
2787,Try the lasagnette appetizer.,Food,Positive
2787,Try the lasagnette appetizer.,Service,Unknown
2787,Try the lasagnette appetizer.,Price,Unknown
2787,Try the lasagnette appetizer.,Eating Environment / Ambiance,Unknown
825,"Pricey, but worth a try, at least once.",Food,Unknown
825,"Pricey, but worth a try, at least once.",Service,Unknown
825,"Pricey, but worth a try, at least once.",Price,Negative
825,"Pricey, but worth a try, at least once.",Eating Environment / Ambiance,Unknown
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",Food,Unknown
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",Service,Unknown
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",Price,Unknown
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",Eating Environment / Ambiance,Unknown
604,I liked the beer selection!,Food,Positive
604,I liked the beer selection!,Service,Unknown
604,I liked the beer selection!,Price,Unknown
604,I liked the beer selection!,Eating Environment / Ambiance,Unknown
2911,"Great food, good size menu, great service and an unpretensious setting.",Food,Positive
2911,"Great food, good size menu, great service and an unpretensious setting.",Service,Positive
2911,"Great food, good size menu, great service and an unpretensious setting.",Price,Unknown
2911,"Great food, good size menu, great service and an unpretensious setting.",Eating Environment / Ambiance,Positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,Food,Unknown
3074,Go here for a romantic dinner but not for an all out wow dining experience.,Service,Unknown
3074,Go here for a romantic dinner but not for an all out wow dining experience.,Price,Unknown
3074,Go here for a romantic dinner but not for an all out wow dining experience.,Eating Environment / Ambiance,Unknown
1479,Can't wait to go back.,Food,Unknown
1479,Can't wait to go back.,Service,Unknown
1479,Can't wait to go back.,Price,Unknown
1479,Can't wait to go back.,Eating Environment / Ambiance,Unknown
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Food,Unknown
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Service,Unknown
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Price,Unknown
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Eating Environment / Ambiance,Unknown
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Food,Positive
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Service,Unknown
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Price,Unknown
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Eating Environment / Ambiance,Unknown
728,"With the great variety on the menu , I eat here often and never get bored .",Food,Positive
728,"With the great variety on the menu , I eat here often and never get bored .",Service,Unknown
728,"With the great variety on the menu , I eat here often and never get bored .",Price,Unknown
728,"With the great variety on the menu , I eat here often and never get bored .",Eating Environment / Ambiance,Unknown
2925,The menu is very limited - i think we counted 4 or 5 entrees.,Food,Negative
2925,The menu is very limited - i think we counted 4 or 5 entrees.,Service,Unknown
2925,The menu is very limited - i think we counted 4 or 5 entrees.,Price,Unknown
2925,The menu is very limited - i think we counted 4 or 5 entrees.,Eating Environment / Ambiance,Unknown
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",Food,Unknown
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",Service,Unknown
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",Price,Unknown
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",Eating Environment / Ambiance,Unknown
3436,The menu is limited but almost all of the dishes are excellent.,Food,Unknown
3436,The menu is limited but almost all of the dishes are excellent.,Service,Unknown
3436,The menu is limited but almost all of the dishes are excellent.,Price,Unknown
3436,The menu is limited but almost all of the dishes are excellent.,Eating Environment / Ambiance,Unknown
3273,Not too crazy about their sake martini.,Food,Negative
3273,Not too crazy about their sake martini.,Service,Unknown
3273,Not too crazy about their sake martini.,Price,Unknown
3273,Not too crazy about their sake martini.,Eating Environment / Ambiance,Unknown
1215,"Great bagels, spreads and a good place to hang out in.",Food,Positive
1215,"Great bagels, spreads and a good place to hang out in.",Service,Unknown
1215,"Great bagels, spreads and a good place to hang out in.",Price,Unknown
1215,"Great bagels, spreads and a good place to hang out in.",Eating Environment / Ambiance,Unknown
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",Food,Unknown
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",Service,Unknown
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",Price,Unknown
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",Eating Environment / Ambiance,Unknown
2511,"whoever the jazz duo was, they were on POINT.",Food,Unknown
2511,"whoever the jazz duo was, they were on POINT.",Service,Unknown
2511,"whoever the jazz duo was, they were on POINT.",Price,Unknown
2511,"whoever the jazz duo was, they were on POINT.",Eating Environment / Ambiance,Positive
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,Food,Unknown
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,Service,Positive
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,Price,Unknown
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,Eating Environment / Ambiance,Unknown
1562,This place is a great bargain.,Food,Unknown
1562,This place is a great bargain.,Service,Unknown
1562,This place is a great bargain.,Price,Positive
1562,This place is a great bargain.,Eating Environment / Ambiance,Unknown
1712,We happened upon this place purely by accident and were pleased with the results.,Food,Unknown
1712,We happened upon this place purely by accident and were pleased with the results.,Service,Unknown
1712,We happened upon this place purely by accident and were pleased with the results.,Price,Unknown
1712,We happened upon this place purely by accident and were pleased with the results.,Eating Environment / Ambiance,Unknown
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",Food,Positive
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",Service,Unknown
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",Price,Unknown
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",Eating Environment / Ambiance,Unknown
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,Food,Unknown
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,Service,Unknown
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,Price,Unknown
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,Eating Environment / Ambiance,Unknown
3207,We always have a delicious meal and always leave feeling satisfied.,Food,Positive
3207,We always have a delicious meal and always leave feeling satisfied.,Service,Unknown
3207,We always have a delicious meal and always leave feeling satisfied.,Price,Unknown
3207,We always have a delicious meal and always leave feeling satisfied.,Eating Environment / Ambiance,Unknown
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",Food,Unknown
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",Service,Unknown
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",Price,Unknown
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",Eating Environment / Ambiance,Unknown
2972,First went here to enjoy their garden terrace.,Food,Unknown
2972,First went here to enjoy their garden terrace.,Service,Unknown
2972,First went here to enjoy their garden terrace.,Price,Unknown
2972,First went here to enjoy their garden terrace.,Eating Environment / Ambiance,Positive
1903,"My husbands was perfect, my was well done and dry.",Food,Unknown
